year,tract,asthma,asthma_ci_low,asthma_ci_high,data_value_unit,totalpopulation,totalpop18plus
2022,17031804204,8.0,7.1,9.0,%,5263,4020
2022,17031730400,11.3,10.1,12.6,%,3386,2735
2022,17031720100,9.4,8.3,10.5,%,3344,2567
2022,17031710800,12.9,11.6,14.4,%,4804,3782
2022,17031810600,9.3,8.3,10.4,%,4949,3965
2022,17031770300,8.7,7.7,9.7,%,7234,5925
2022,17031806802,8.3,7.4,9.3,%,3445,2639
2022,17031800100,8.3,7.4,9.4,%,2395,1722
2022,17031811500,9.3,8.3,10.4,%,6031,4780
2022,17031804512,7.8,7.0,8.8,%,3995,3186
2022,17031817500,11.3,10.1,12.6,%,3612,2785
2022,17031803015,8.7,7.7,9.7,%,4631,3884
2022,17031803007,8.9,7.9,9.9,%,5153,4290
2022,17031800900,7.4,6.6,8.4,%,4505,3420
2022,17031821002,9.4,8.4,10.6,%,5764,4446
2022,17031803603,7.8,7.0,8.7,%,6824,5267
2022,17031803614,10.4,9.3,11.6,%,4422,3206
2022,17031670100,13.9,12.5,15.5,%,1349,934
2022,17031681300,13.9,12.4,15.5,%,2182,1592
2022,17031801603,8.3,7.4,9.3,%,4138,3221
2022,17031680600,11.4,10.1,12.6,%,1165,817
2022,17031815300,8.8,7.9,9.9,%,3756,2934
2022,17031814400,9.5,8.4,10.7,%,7781,5722
2022,17031802404,8.8,7.9,9.9,%,7558,5882
2022,17031813801,9.4,8.4,10.5,%,2856,2018
2022,17031690400,12.4,11.0,13.8,%,3363,2544
2022,17031813301,10.1,9.0,11.2,%,3634,2473
2022,17031806002,8.2,7.3,9.2,%,7833,6292
2022,17031802609,8.8,7.9,9.9,%,6290,4906
2022,17031804405,9.4,8.3,10.5,%,3570,2481
2022,17031816500,9.5,8.5,10.7,%,4262,3141
2022,17031815900,9.4,8.4,10.6,%,4773,4318
2022,17031821600,10.2,9.1,11.4,%,4542,3510
2022,17031650100,8.6,7.7,9.7,%,4765,3534
2022,17031816402,10.3,9.1,11.4,%,4460,3223
2022,17031802002,8.3,7.4,9.3,%,5130,3887
2022,17031802702,8.0,7.1,8.9,%,4710,3864
2022,17031804709,8.4,7.5,9.4,%,6814,5529
2022,17031817101,11.8,10.6,13.3,%,4563,3567
2022,17031822601,9.3,8.3,10.4,%,4793,3717
2022,17031804305,9.1,8.1,10.2,%,6952,5494
2022,17031815000,9.4,8.4,10.5,%,4254,3137
2022,17031819600,8.9,8.0,10.0,%,4083,2828
2022,17031812301,8.5,7.6,9.5,%,4978,4393
2022,17031804309,9.1,8.1,10.2,%,3038,2306
2022,17031804611,8.6,7.7,9.7,%,4653,3664
2022,17031820202,9.4,8.4,10.5,%,3128,2511
2022,17031819500,9.4,8.4,10.5,%,3664,2969
2022,17031804203,7.3,6.5,8.2,%,3458,2626
2022,17031823001,9.9,8.8,11.0,%,6624,5143
2022,17031804000,8.9,7.9,10.0,%,4763,3942
2022,17031818000,10.2,9.1,11.5,%,4428,3514
2022,17031770202,9.5,8.4,10.7,%,5060,4323
2022,17031822500,9.6,8.6,10.8,%,4496,3484
2022,17031612000,11.5,10.2,12.8,%,1448,1041
2022,17031818100,8.6,7.6,9.6,%,2330,1899
2022,17031611600,11.0,9.8,12.3,%,1921,1275
2022,17031804805,8.8,7.8,9.9,%,6860,5342
2022,17031691000,11.1,9.9,12.4,%,2668,2243
2022,17031804714,8.6,7.7,9.7,%,3534,2824
2022,17031803008,8.3,7.3,9.3,%,4767,3695
2022,17031803100,8.5,7.5,9.5,%,3616,2601
2022,17031640500,9.3,8.3,10.4,%,3896,3094
2022,17031630900,9.1,8.1,10.2,%,5204,3752
